subregion,scenario,window,SMB_hist,SMB_proj,dSMB,suspicious
C_Himalaya,ssp585,2080-2099,-0.411,-0.3887,0.0223,True
C_Tian_Shan,ssp585,2080-2099,-0.2389,-0.6569,-0.418,False
E_Himalaya,ssp585,2080-2099,-0.4545,-0.3964,0.0581,True
E_Pamir,ssp585,2080-2099,-0.037,-0.4091,-0.3721,False
Hengduan_Shan_N,ssp585,2080-2099,-0.4857,-0.5794,-0.0937,False
Hindu_Kush,ssp585,2080-2099,-0.0657,-0.3836,-0.3178,False
Inner_Tibet,ssp585,2080-2099,-0.1433,-0.4082,-0.2649,False
Karakoram,ssp585,2080-2099,0.0251,-0.3055,-0.3306,False
Kunlun,ssp585,2080-2099,-0.0043,-0.4135,-0.4092,False
N_Tian_Shan,ssp585,2080-2099,-0.4252,-0.7373,-0.312,False
Pamir_Alay,ssp585,2080-2099,-0.1301,-0.4783,-0.3482,False
Qilian_Shan,ssp585,2080-2099,-0.2425,-0.4506,-0.2081,False
W_Himalaya,ssp585,2080-2099,-0.1858,-0.3671,-0.1813,False
W_Nepal,ssp585,2080-2099,-0.3134,-0.5002,-0.1867,False
W_Pamir,ssp585,2080-2099,-0.046,-0.4393,-0.3933,False
